TÉRMINO                                                   FREQ  RAZÓN
------------------------------------------------------------------------------------------
pago                                                        84  POS: token único POS=NOUN
fraccionamiento                                             54  POS: token único POS=NOUN
plazo                                                       54  POS: token único POS=NOUN
trabajo                                                     43  POS: token único POS=VERB
aeat                                                        38  POS: token único POS=NOUN
artículo                                                    38  POS: token único POS=NOUN
acuerdo                                                     36  POS: token único POS=NOUN
aplazamiento                                                35  POS: token único POS=NOUN
contrato                                                    35  POS: token único POS=NOUN
empresa                                                     34  POS: token único POS=NOUN
trabajadores                                                34  POS: token único POS=NOUN
periodo                                                     30  POS: token único POS=NOUN
cl@ve                                                       27  POS: token único POS=ADV
cuenta                                                      23  POS: token único POS=VERB
económico                                                   23  POS: token único POS=ADJ
reclamación                                                 23  POS: token único POS=NOUN
recurso                                                     23  POS: token único POS=NOUN
través                                                      23  POS: token único POS=NOUN
entidades                                                   19  POS: token único POS=NOUN
deuda                                                       18  POS: token único POS=NOUN
domiciliación                                               17  POS: token único POS=NOUN
derecho                                                     17  POS: token único POS=NOUN
convenio                                                    17  POS: token único POS=NOUN
sistema                                                     14  POS: token único POS=NOUN
autoridad                                                   13  POS: token único POS=NOUN
persona                                                     12  POS: token único POS=NOUN
caso                                                        12  POS: token único POS=NOUN
electrónica                                                 12  POS: token único POS=ADJ
apremio                                                     11  POS: token único POS=NOUN
órgano                                                      11  POS: token único POS=NOUN
rec@t                                                       11  POS: token único POS=NOUN
solicitud                                                   11  POS: token único POS=NOUN
días                                                        10  POS: token único POS=NOUN
personas                                                    10  POS: token único POS=NOUN
procedimiento                                                9  POS: token único POS=NOUN
tiempo                                                       9  POS: token único POS=NOUN
fecha                                                        9  POS: token único POS=NOUN
ingreso                                                      9  POS: token único POS=NOUN
deudas                                                       9  POS: token único POS=NOUN
trabajador                                                   9  POS: token único POS=ADJ
formación                                                    9  POS: token único POS=NOUN
adeudo                                                       8  POS: token único POS=NOUN
públicas                                                     8  POS: token único POS=ADJ
jornada                                                      8  POS: token único POS=NOUN
reglamento                                                   8  POS: token único POS=NOUN
comunicación                                                 8  POS: token único POS=NOUN
dirección                                                    8  POS: token único POS=NOUN
entidad                                                      7  POS: token único POS=NOUN
fracciones                                                   7  POS: token único POS=NOUN
condiciones                                                  7  POS: token único POS=NOUN
inadmisión                                                   7  POS: token único POS=NOUN
causa                                                        7  POS: token único POS=NOUN
empresario                                                   7  POS: token único POS=NOUN
número                                                       6  POS: token único POS=NOUN
contratos                                                    6  POS: token único POS=NOUN
véase                                                        6  POS: token único POS=VERB
seguridad                                                    6  POS: token único POS=NOUN
general                                                      6  POS: token único POS=ADJ
comité                                                       6  POS: token único POS=NOUN
período                                                      6  POS: token único POS=NOUN
efectos                                                      5  POS: token único POS=NOUN
encabezamiento                                               5  POS: token único POS=NOUN
solicitudes                                                  5  POS: token único POS=NOUN
información                                                  5  POS: token único POS=NOUN
véanse                                                       5  POS: token único POS=ADJ
guarda con fines                                             5  POS: multitoken no-nominal [VERB, ADP, NOUN]
“suscripción                                                 5  fragmento partido
aplicación móvil”                                            5  fragmento partido
salario                                                      5  POS: token único POS=NOUN
horas                                                        5  POS: token único POS=NOUN
despido                                                      4  POS: token único POS=NOUN
representantes                                               4  POS: token único POS=NOUN
reposición                                                   4  POS: token único POS=NOUN
puesto                                                       4  POS: token único POS=VERB
impuesto                                                     4  POS: token único POS=NOUN
garantía                                                     4  POS: token único POS=NOUN
disposiciones                                                4  POS: token único POS=NOUN
elecciones                                                   4  POS: token único POS=NOUN
pacto                                                        4  POS: token único POS=NOUN
personal                                                     4  POS: token único POS=ADJ
prórrogas                                                    4  POS: token único POS=NOUN
igualdad                                                     4  POS: token único POS=NOUN
suspensión                                                   4  POS: token único POS=NOUN
empleo                                                       4  POS: token único POS=NOUN
consultas                                                    4  POS: token único POS=NOUN
trabajo a tiempo                                             4  POS: multitoken no-nominal [VERB, ADP, NOUN]
consulta                                                     4  POS: token único POS=NOUN
momento                                                      4  POS: token único POS=NOUN
avisos                                                       4  POS: token único POS=NOUN
adopción                                                     4  POS: token único POS=NOUN
fines                                                        4  POS: token único POS=NOUN
caución                                                      3  POS: token único POS=NOUN
aval                                                         3  POS: token único POS=NOUN
medidas                                                      3  POS: token único POS=NOUN
importe                                                      3  POS: token único POS=NOUN
diciembre                                                    3  POS: token único POS=NOUN
sexiesdecies                                                 3  POS: token único POS=NOUN
oficina                                                      3  POS: token único POS=NOUN
social                                                       3  POS: token único POS=ADJ
meses                                                        3  POS: token único POS=NOUN
convenios                                                    3  POS: token único POS=NOUN
decreto                                                      3  POS: token único POS=NOUN
forma                                                        3  POS: token único POS=NOUN
notificaciones”                                              3  fragmento partido
correo                                                       3  POS: token único POS=NOUN
mesa                                                         3  POS: token único POS=NOUN
producción                                                   3  POS: token único POS=NOUN
texto                                                        3  POS: token único POS=NOUN
petición                                                     3  POS: token único POS=NOUN
voto                                                         3  POS: token único POS=NOUN
agencia                                                      3  POS: token único POS=NOUN
requerimiento                                                3  POS: token único POS=NOUN
título                                                       3  POS: token único POS=NOUN
puestos                                                      3  POS: token único POS=NOUN
recaudación                                                  3  POS: token único POS=NOUN
representación                                               3  POS: token único POS=NOUN
informe                                                      3  POS: token único POS=NOUN
devengo de intereses                                         2  POS: multitoken no-nominal [VERB, ADP, NOUN]
semana                                                       2  POS: token único POS=NOUN
salud                                                        2  POS: token único POS=NOUN
recíproca                                                    2  POS: token único POS=ADJ
crédito                                                      2  POS: token único POS=NOUN
hora                                                         2  POS: token único POS=NOUN
cesionario                                                   2  POS: token único POS=ADJ
cedente                                                      2  POS: token único POS=ADJ
transmisión                                                  2  POS: token único POS=NOUN
presencialmente                                              2  POS: token único POS=ADV
denegación                                                   2  POS: token único POS=NOUN
proceso                                                      2  POS: token único POS=NOUN
sigilo                                                       2  POS: token único POS=NOUN
europea                                                      2  POS: token único POS=ADJ
disfrutarlas de forma                                        2  POS: multitoken no-nominal [VERB, ADP, NOUN]
datos                                                        2  POS: token único POS=NOUN
consigne                                                     2  POS: token único POS=VERB
“apremio                                                     2  fragmento partido
impugnaciones                                                2  POS: token único POS=NOUN
36/2011                                                      2  numérico puro
inicio                                                       2  POS: token único POS=NOUN
sindicato                                                    2  POS: token único POS=NOUN
disfrute                                                     2  POS: token único POS=VERB
ámbito                                                       2  POS: token único POS=NOUN
censo                                                        2  POS: token único POS=NOUN
contratas                                                    2  POS: token único POS=VERB
extinción                                                    2  POS: token único POS=NOUN
sanciones                                                    2  POS: token único POS=NOUN
modificación                                                 2  POS: token único POS=NOUN
causas                                                       2  POS: token único POS=NOUN
ingresos                                                     2  POS: token único POS=NOUN
trabajo a distancia                                          2  POS: multitoken no-nominal [VERB, ADP, NOUN]
duración                                                     2  POS: token único POS=NOUN
acto                                                         2  POS: token único POS=NOUN
jubilación                                                   2  POS: token único POS=NOUN
edad                                                         2  POS: token único POS=NOUN
cambios                                                      2  POS: token único POS=NOUN
semanas de disfrute                                          2  POS: multitoken no-nominal [NOUN, ADP, VERB]
semanas                                                      2  POS: token único POS=NOUN
acta                                                         2  POS: token único POS=NOUN
regulación                                                   2  POS: token único POS=NOUN
documento                                                    2  POS: token único POS=NOUN
delegados                                                    2  POS: token único POS=NOUN
elección                                                     2  POS: token único POS=NOUN
registro                                                     2  POS: token único POS=NOUN
preaviso                                                     2  POS: token único POS=NOUN
circunstancias                                               2  POS: token único POS=NOUN
carácter                                                     2  POS: token único POS=NOUN
mujeres                                                      2  POS: token único POS=NOUN
decisión                                                     2  POS: token único POS=NOUN
servicios                                                    2  POS: token único POS=NOUN
derechos                                                     2  POS: token único POS=NOUN
deberes                                                      2  POS: token único POS=NOUN
manera                                                       2  POS: token único POS=NOUN
disposición                                                  2  POS: token único POS=NOUN
deliberaciones                                               2  POS: token único POS=NOUN
miembros                                                     2  POS: token único POS=NOUN
sindicatos                                                   2  POS: token único POS=NOUN
administraciones                                             2  POS: token único POS=NOUN
años                                                         2  POS: token único POS=NOUN
zona                                                         1  POS: token único POS=NOUN
colaboradora                                                 1  POS: token único POS=ADJ
motivo                                                       1  POS: token único POS=NOUN
organización                                                 1  POS: token único POS=NOUN
razón                                                        1  POS: token único POS=NOUN
religión                                                     1  POS: token único POS=NOUN
corresponsabilidad                                           1  POS: token único POS=NOUN
extraordinarias                                              1  POS: token único POS=ADJ
desempleo                                                    1  POS: token único POS=NOUN
consecuencias                                                1  POS: token único POS=NOUN
cambio                                                       1  POS: token único POS=NOUN
antelación                                                   1  POS: token único POS=NOUN
usos                                                         1  POS: token único POS=NOUN
consejo                                                      1  POS: token único POS=NOUN
ministros                                                    1  POS: token único POS=NOUN
mecanismo                                                    1  POS: token único POS=NOUN
recualificación                                              1  POS: token único POS=NOUN
seguro                                                       1  POS: token único POS=ADJ
convocatoria                                                 1  POS: token único POS=NOUN
promoción                                                    1  POS: token único POS=NOUN
vigencia                                                     1  POS: token único POS=NOUN
partes                                                       1  POS: token único POS=NOUN
acuerdos                                                     1  POS: token único POS=NOUN
extinciones                                                  1  POS: token único POS=NOUN
delegado                                                     1  POS: token único POS=NOUN
mancomunadamente                                             1  POS: token único POS=ADV
clave                                                        1  POS: token único POS=NOUN
autentificación                                              1  POS: token único POS=NOUN
centros                                                      1  POS: token único POS=NOUN
letra                                                        1  POS: token único POS=NOUN
marzo                                                        1  POS: token único POS=NOUN
administración                                               1  POS: token único POS=NOUN
«boletín                                                     1  POS: token único POS=NOUN
criterios                                                    1  POS: token único POS=NOUN
vacaciones                                                   1  POS: token único POS=NOUN
incapacidad                                                  1  POS: token único POS=NOUN
adicional                                                    1  POS: token único POS=ADJ
párrafo                                                      1  POS: token único POS=NOUN
prueba                                                       1  POS: token único POS=NOUN
instancia                                                    1  POS: token único POS=NOUN
evolución                                                    1  POS: token único POS=NOUN
situación                                                    1  POS: token único POS=NOUN
límites de disfrute                                          1  POS: multitoken no-nominal [NOUN, ADP, VERB]
madre                                                        1  POS: token único POS=NOUN
solicitud con respecto                                       1  POS: multitoken no-nominal [VERB, ADP, NOUN]
laudos                                                       1  POS: token único POS=NOUN
concursal                                                    1  POS: token único POS=ADJ
julio                                                        1  POS: token único POS=NOUN
mónaco                                                       1  POS: token único POS=ADJ
prescripción                                                 1  POS: token único POS=NOUN
faltas                                                       1  POS: token único POS=NOUN
minoración                                                   1  POS: token único POS=NOUN
organizativas                                                1  POS: token único POS=ADJ
distancia                                                    1  POS: token único POS=NOUN
capítulo                                                     1  POS: token único POS=NOUN
términos                                                     1  POS: token único POS=NOUN
indemnizatorio                                               1  POS: token único POS=ADJ
discontinuos                                                 1  POS: token único POS=ADJ
adeudado                                                     1  POS: token único POS=ADJ
cuenta propia                                                1  POS: multitoken no-nominal [VERB, DET]
microacreditaciones                                          1  POS: token único POS=NOUN
enero                                                        1  POS: token único POS=NOUN
guarda                                                       1  POS: token único POS=VERB
obligaciones                                                 1  POS: token único POS=NOUN
empresas                                                     1  POS: token único POS=NOUN
votación                                                     1  POS: token único POS=NOUN
interventores                                                1  POS: token único POS=NOUN
presidente                                                   1  POS: token único POS=NOUN
resultado                                                    1  POS: token único POS=NOUN
actividades                                                  1  POS: token único POS=NOUN
vigesimoctava                                                1  POS: token único POS=VERB
tributaria                                                   1  POS: token único POS=ADJ
acciones                                                     1  POS: token único POS=NOUN
árbitros                                                     1  POS: token único POS=NOUN
titulación                                                   1  POS: token único POS=NOUN
práctica                                                     1  POS: token único POS=ADJ
salarial                                                     1  POS: token único POS=ADJ
valor                                                        1  POS: token único POS=NOUN
profesionales                                                1  POS: token único POS=NOUN
oscilaciones                                                 1  POS: token único POS=NOUN
habilitante                                                  1  POS: token único POS=NOUN
deber                                                        1  POS: token único POS=NOUN
facturas                                                     1  POS: token único POS=NOUN
septies                                                      1  POS: token único POS=NOUN
inviolabilidad                                               1  POS: token único POS=NOUN
protección                                                   1  POS: token único POS=NOUN
riesgo                                                       1  POS: token único POS=NOUN
hijo                                                         1  POS: token único POS=NOUN
supuesto                                                     1  POS: token único POS=ADJ
liquidaciones                                                1  POS: token único POS=NOUN
infracciones                                                 1  POS: token único POS=NOUN
acogimiento                                                  1  POS: token único POS=NOUN
fuerza                                                       1  POS: token único POS=NOUN
empleo–formación                                             1  POS: token único POS=PRON
actividad                                                    1  POS: token único POS=NOUN
ejecutividad                                                 1  POS: token único POS=NOUN
encadenamiento                                               1  POS: token único POS=NOUN
29/2011                                                      1  numérico puro
profesional                                                  1  POS: token único POS=ADJ
externalizaciones                                            1  POS: token único POS=NOUN
ascensos                                                     1  POS: token único POS=NOUN
discriminación                                               1  POS: token único POS=NOUN
facultades                                                   1  POS: token único POS=NOUN
impedimentos                                                 1  POS: token único POS=NOUN
hacérsele                                                    1  POS: token único POS=VERB
inembargabilidad                                             1  POS: token único POS=NOUN
imposibilidad                                                1  POS: token único POS=NOUN
precios                                                      1  POS: token único POS=NOUN
índice                                                       1  POS: token único POS=NOUN
grupo                                                        1  POS: token único POS=NOUN
común                                                        1  POS: token único POS=ADJ
medida                                                       1  POS: token único POS=NOUN
respecto                                                     1  POS: token único POS=NOUN
jefe                                                         1  POS: token único POS=NOUN
trabajo al amparo                                            1  POS: multitoken no-nominal [VERB, ADP, NOUN]
copia                                                        1  POS: token único POS=NOUN
reestructuraciones                                           1  POS: token único POS=NOUN
lista                                                        1  POS: token único POS=ADJ
colegio                                                      1  POS: token único POS=NOUN
aprendizaje                                                  1  POS: token único POS=NOUN
funcionario                                                  1  POS: token único POS=NOUN
tracto                                                       1  POS: token único POS=NOUN
contenido                                                    1  POS: token único POS=NOUN
anexo                                                        1  POS: token único POS=NOUN
organizaciones                                               1  POS: token único POS=NOUN
denegaciones                                                 1  POS: token único POS=NOUN
